case_id,scenario,expected_policy_action,expected_stop_condition,high_value,within_recovery_window,attempts,successful_payments,has_contact_method
RC_000001,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,1,true
RC_000002,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,0,true
RC_000003,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,2,true
RC_000004,INVALID_PAYMENT_DETAILS,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,12,true
RC_000005,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000006,GATEWAY_FAILURE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,2,2,true
RC_000007,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,0,20,true
RC_000008,UNKNOWN,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000009,UNKNOWN,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,12,true
RC_000010,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,8,true
RC_000011,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,12,true
RC_000012,BANK_DECLINE,STOP,RECOVERY_WINDOW_EXPIRED,true,false,3,12,true
RC_000013,INSUFFICIENT_FUNDS,STOP,MAX_RECOVERY_ATTEMPTS_REACHED,false,true,3,8,true
RC_000014,INSUFFICIENT_FUNDS,STOP,NO_CONTACT_METHOD,true,true,1,5,false
RC_000015,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000016,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,0,8,true
RC_000017,CUSTOMER_ABANDONMENT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,2,5,true
RC_000018,BANK_DECLINE,CREATE_PAYMENT_LINK,,false,true,0,12,true
RC_000019,AUTHENTICATION_FAILURE,CREATE_PAYMENT_LINK,,true,true,0,30,true
RC_000020,CUSTOMER_ABANDONMENT,STOP,RECOVERY_WINDOW_EXPIRED,false,false,0,0,true
RC_000021,BANK_DECLINE,CREATE_PAYMENT_LINK,,true,true,1,8,true
RC_000022,INVALID_PAYMENT_DETAILS,CREATE_PAYMENT_LINK,,false,true,1,2,true
RC_000023,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,30,true
RC_000024,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,true,true,2,30,true
RC_000025,GATEWAY_FAILURE,CREATE_PAYMENT_LINK,,false,true,0,5,true
RC_000026,INSUFFICIENT_FUNDS,CREATE_PAYMENT_LINK,,false,true,2,8,true
