audit_id,recovery_case_id,action,status,amount_recovered,metadata,created_at
AUD_000004_1,RC_000004,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-03T16:10:00+00:00
AUD_000004_2,RC_000004,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-03T16:20:00+00:00
AUD_000006_1,RC_000006,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:10:00+00:00
AUD_000006_2,RC_000006,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:20:00+00:00
AUD_000012_1,RC_000012,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:10:00+00:00
AUD_000012_2,RC_000012,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:20:00+00:00
AUD_000012_3,RC_000012,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:30:00+00:00
AUD_000013_1,RC_000013,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:10:00+00:00
AUD_000013_2,RC_000013,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:20:00+00:00
AUD_000013_3,RC_000013,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:30:00+00:00
AUD_000014_1,RC_000014,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T15:40:00+00:00
AUD_000017_1,RC_000017,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:10:00+00:00
AUD_000017_2,RC_000017,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:20:00+00:00
AUD_000021_1,RC_000021,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T15:40:00+00:00
AUD_000022_1,RC_000022,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:10:00+00:00
AUD_000024_1,RC_000024,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:10:00+00:00
AUD_000024_2,RC_000024,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:20:00+00:00
AUD_000026_1,RC_000026,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T15:40:00+00:00
AUD_000026_2,RC_000026,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T15:50:00+00:00
AUD_000028_1,RC_000028,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T15:40:00+00:00
AUD_000029_1,RC_000029,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:10:00+00:00
AUD_000029_2,RC_000029,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:20:00+00:00
AUD_000030_1,RC_000030,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:10:00+00:00
AUD_000030_2,RC_000030,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:20:00+00:00
AUD_000030_3,RC_000030,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-04T14:30:00+00:00
AUD_000033_1,RC_000033,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:10:00+00:00
AUD_000033_2,RC_000033,RECOVERY_ATTEMPTED,COMPLETED,0,"{""synthetic"":true}",2026-09-05T14:20:00+00:00
