case_id,payment_id,failure_category,revenue_at_risk,recoverability_status,recovery_probability,priority,recommended_action,preferred_method,reasoning,confidence,stop_condition,action_status,recovery_attempt_count,max_recovery_attempts,recovery_link_id,recovery_link_url,amount_recovered,created_at,updated_at
RC_000001,PAY_000001,BANK_DECLINE,1499900,PENDING_ASSESSMENT,0.45,CRITICAL,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.7782,,NONE,0,3,,,0,2026-09-05T08:03:00+00:00,2026-09-05T08:03:00+00:00
RC_000002,PAY_000002,BANK_DECLINE,599900,PENDING_ASSESSMENT,0.45,HIGH,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: bank decline.,0.8051,,NONE,0,3,,,0,2026-09-04T17:06:00+00:00,2026-09-04T17:06:00+00:00
RC_000003,PAY_000003,GATEWAY_FAILURE,249900,PENDING_ASSESSMENT,0.8,MEDIUM,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: gateway failure.,0.7397,,NONE,0,3,,,0,2026-09-04T17:06:00+00:00,2026-09-04T17:06:00+00:00
RC_000004,PAY_000004,INVALID_PAYMENT_DETAILS,49900,PENDING_ASSESSMENT,0.1,LOW,STOP,card,Synthetic scenario: invalid payment details.,0.815,RECOVERY_WINDOW_EXPIRED,NONE,2,3,,,0,2026-09-03T16:01:00+00:00,2026-09-03T16:01:00+00:00
RC_000005,PAY_000005,GATEWAY_FAILURE,999900,PENDING_ASSESSMENT,0.95,HIGH,CREATE_PAYMENT_LINK,upi,Synthetic scenario: gateway failure.,0.7609,,NONE,0,3,,,0,2026-09-05T00:03:00+00:00,2026-09-05T00:03:00+00:00
RC_000006,PAY_000006,GATEWAY_FAILURE,2499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,upi,Synthetic scenario: gateway failure.,0.7869,RECOVERY_WINDOW_EXPIRED,NONE,2,3,,,0,2026-09-04T14:06:00+00:00,2026-09-04T14:06:00+00:00
RC_000007,PAY_000007,INSUFFICIENT_FUNDS,999900,PENDING_ASSESSMENT,0.45,HIGH,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: insufficient funds.,0.8547,,NONE,0,3,,,0,2026-09-05T15:38:00+00:00,2026-09-05T15:38:00+00:00
RC_000008,PAY_000008,UNKNOWN,499900,PENDING_ASSESSMENT,0.25,MEDIUM,CREATE_PAYMENT_LINK,wallet,Synthetic scenario: unknown.,0.7582,,NONE,0,3,,,0,2026-09-05T15:31:00+00:00,2026-09-05T15:31:00+00:00
RC_000009,PAY_000009,UNKNOWN,499900,PENDING_ASSESSMENT,0.1,MEDIUM,STOP,netbanking,Synthetic scenario: unknown.,0.8904,RECOVERY_WINDOW_EXPIRED,NONE,0,3,,,0,2026-09-04T14:01:00+00:00,2026-09-04T14:01:00+00:00
RC_000010,PAY_000010,BANK_DECLINE,49900,PENDING_ASSESSMENT,0.55,LOW,CREATE_PAYMENT_LINK,netbanking,Synthetic scenario: bank decline.,0.9376,,NONE,0,3,,,0,2026-09-04T17:01:00+00:00,2026-09-04T17:01:00+00:00
RC_000011,PAY_000011,BANK_DECLINE,2499900,PENDING_ASSESSMENT,0.55,CRITICAL,CREATE_PAYMENT_LINK,upi,Synthetic scenario: bank decline.,0.9397,,NONE,0,3,,,0,2026-09-05T14:05:00+00:00,2026-09-05T14:05:00+00:00
RC_000012,PAY_000012,BANK_DECLINE,1499900,PENDING_ASSESSMENT,0.1,CRITICAL,STOP,wallet,Synthetic scenario: bank decline.,0.9115,RECOVERY_WINDOW_EXPIRED,NONE,3,3,,,0,2026-09-04T14:08:00+00:00,2026-09-04T14:08:00+00:00
